回答ID,タイムスタンプ,役職,企業規模,業界,TaskFlowモバイルウェブ利用,モバイルウェブ満足度,ネイティブアプリ希望,モバイルの重要度,主なモバイル用途,追加料金の支払い意思,利用中の競合モバイルアプリ,追加コメント
54,2024-10-02 11:06:55,Project Manager,51-200,Events,Yes,1,Yes,Critical,ライブイベントタスク,Yes,Asana,"オフライン必須"
55,2024-10-02 11:20:08,Designer,11-50,Design Agency,Yes,2,Yes,Medium,クライアントフィードバック,Maybe,Monday,""
56,2024-10-02 11:33:28,Product Manager,501-1000,Technology,Yes,2,Yes,High,ロードマップ更新,Yes,Linear,""
57,2024-10-02 11:46:42,Founder,1-10,Startup,Yes,1,Yes,Critical,チーム連携,Yes,Notion,""
58,2024-10-02 12:00:01,Engineering Lead,51-200,SaaS,Yes,2,Yes,High,インシデント対応,Yes,Linear,"プッシュ通知が必要"
59,2024-10-02 12:13:18,Operations Lead,201-500,Retail,No,N/A,Yes,Critical,店舗運営,Yes,None,""
60,2024-10-02 12:26:35,Product Manager,11-50,EdTech,Yes,2,Yes,High,カリキュラム追跡,Yes,Asana,""
61,2024-10-02 12:39:48,Project Manager,201-500,Healthcare,Yes,1,Yes,Critical,ケア連携,Yes,Monday,""
62,2024-10-02 12:53:02,Designer,51-200,Technology,Yes,3,Yes,Medium,UIレビュー,Maybe,Figma,""
63,2024-10-02 13:06:22,Engineering Manager,11-50,Startup,Yes,2,Yes,High,スプリント追跡,Yes,Linear,""
64,2024-10-02 13:19:38,Product Manager,201-500,Fintech,Yes,2,Yes,High,監査追跡,Yes,Asana,""
65,2024-10-02 13:32:55,CEO,11-50,Agency,Yes,2,Yes,Critical,全プロジェクト,Yes,Monday,"エージェンシー = どこでもクライアント対応"
66,2024-10-02 13:46:08,Operations Manager,501-1000,Manufacturing,No,N/A,Yes,Critical,シフト管理,Yes,None,""
67,2024-10-02 13:59:28,Product Manager,51-200,Technology,Yes,2,Yes,High,ユーザーフィードバック,Yes,Linear,""
68,2024-10-02 14:12:42,Engineering Lead,201-500,Technology,Yes,2,Yes,High,チーム更新,Yes,Linear,"プッシュ通知が必要"
69,2024-10-02 14:25:55,Project Manager,11-50,Consulting,Yes,2,Yes,Critical,クライアント業務,Yes,Asana,""
70,2024-10-02 14:39:12,Designer,51-200,E-commerce,Yes,2,Yes,Medium,商品レビュー,Maybe,Figma,""
71,2024-10-02 14:52:28,Product Manager,201-500,Healthcare,Yes,1,Yes,Critical,患者追跡,Yes,Monday,"セキュリティ最優先"
72,2024-10-02 15:05:41,Founder,1-10,Startup,Yes,1,Yes,Critical,スタートアップの混乱,Yes,Notion,""
73,2024-10-02 15:18:58,Engineering Manager,51-200,SaaS,Yes,2,Yes,High,リリース追跡,Yes,Linear,""
74,2024-10-02 15:32:15,Operations Lead,201-500,Events,No,N/A,Yes,Critical,会場連携,Yes,None,"イベント = 立ちっぱなし"
75,2024-10-02 15:45:29,Product Manager,11-50,Technology,Yes,3,Yes,High,バックロググルーミング,Maybe,Asana,""
76,2024-10-02 15:58:42,Project Manager,501-1000,Enterprise,Yes,2,Yes,High,プログラム追跡,Yes,Jira,""
77,2024-10-02 16:11:58,Designer,11-50,Design Agency,Yes,2,Yes,Medium,アセット管理,Maybe,Monday,""
78,2024-10-02 16:25:12,Engineering Lead,201-500,Technology,Yes,2,Yes,High,オンコール業務,Yes,Linear,""
79,2024-10-02 16:38:28,Product Manager,51-200,Fintech,Yes,2,Yes,High,機能追跡,Yes,Asana,""
80,2024-10-02 16:51:45,CEO,1-10,Startup,Yes,1,Yes,Critical,会社の監督,Yes,Notion,""
81,2024-10-03 08:22:18,Operations Manager,201-500,Logistics,No,N/A,Yes,Critical,ルート計画,Yes,None,""
82,2024-10-03 08:35:32,Product Manager,11-50,Technology,Yes,2,Yes,High,スプリント更新,Yes,Linear,""
83,2024-10-03 08:48:49,Engineering Manager,51-200,Technology,Yes,3,Yes,High,チーム同期,Maybe,Linear,""
84,2024-10-03 09:02:01,Project Manager,201-500,Construction,No,N/A,Yes,Critical,現場検査,Yes,Procore,""
85,2024-10-03 09:15:18,Designer,51-200,Technology,Yes,2,Yes,Medium,デザインハンドオフ,Maybe,Figma,""
86,2024-10-03 09:28:35,Product Manager,501-1000,Financial Services,Yes,2,Yes,Critical,リスク追跡,Yes,Monday,""
87,2024-10-03 09:41:48,Founder,1-10,Startup,Yes,1,Yes,Critical,すべて,Yes,Notion,""
88,2024-10-03 09:55:02,Engineering Lead,11-50,SaaS,Yes,2,Yes,High,デプロイ状況,Yes,Linear,""
89,2024-10-03 10:08:22,Operations Lead,51-200,Healthcare,No,N/A,Yes,Critical,スタッフタスク,Yes,None,""
90,2024-10-03 10:21:38,Product Manager,201-500,Technology,Yes,2,Yes,High,顧客フィードバック,Yes,Asana,""
91,2024-10-03 10:34:52,Project Manager,11-50,Agency,Yes,2,Yes,High,納品物,Yes,Monday,""
92,2024-10-03 10:48:08,Designer,201-500,E-commerce,Yes,2,Yes,Medium,キャンペーンアセット,Maybe,Figma,""
93,2024-10-03 11:01:25,Engineering Manager,51-200,Technology,Yes,2,Yes,High,インシデント追跡,Yes,Linear,""
94,2024-10-03 11:14:38,Product Manager,11-50,EdTech,Yes,2,Yes,High,コンテンツ追跡,Yes,Asana,""
95,2024-10-03 11:27:55,CEO,11-50,Consulting,Yes,1,Yes,Critical,クライアントの可視性,Yes,Notion,""
96,2024-10-03 11:41:12,Operations Manager,501-1000,Hospitality,No,N/A,Yes,Critical,ゲストサービス,Yes,None,""
97,2024-10-03 11:54:28,Product Manager,51-200,Technology,Yes,3,Yes,High,機能リクエスト,Maybe,Linear,""
98,2024-10-03 12:07:42,Engineering Lead,201-500,Enterprise,Yes,2,Yes,High,スプリント健全性,Yes,Jira,""
99,2024-10-03 12:20:58,Project Manager,51-200,Events,Yes,1,Yes,Critical,イベントロジスティクス,Yes,Asana,""
100,2024-10-03 12:34:15,Designer,11-50,Design Agency,Yes,2,Yes,Medium,クライアントレビュー,Maybe,Monday,""
101,2024-10-03 12:47:29,Product Manager,201-500,Healthcare,Yes,1,Yes,Critical,ケアタスク,Yes,Monday,""
102,2024-10-03 13:00:45,Founder,1-10,Startup,Yes,1,Yes,Critical,サバイバルモード,Yes,Notion,""
103,2024-10-03 13:13:58,Engineering Manager,11-50,Technology,Yes,2,Yes,High,コードレビュー,Yes,Linear,""
104,2024-10-03 13:27:12,Operations Lead,201-500,Manufacturing,No,N/A,Yes,Critical,ライン管理,Yes,None,""
105,2024-10-03 13:40:28,Product Manager,51-200,Fintech,Yes,2,Yes,High,コンプライアンス,Yes,Asana,""
106,2024-10-03 13:53:42,Project Manager,501-1000,Technology,Yes,2,Yes,High,プログラム状況,Yes,Monday,""
107,2024-10-03 14:06:58,Designer,51-200,Technology,Yes,3,Yes,Medium,レビューサイクル,Maybe,Figma,""
108,2024-10-03 14:20:15,Engineering Lead,51-200,SaaS,Yes,2,Yes,High,リリースノート,Yes,Linear,""
109,2024-10-03 14:33:29,Product Manager,11-50,Technology,Yes,2,Yes,High,バックログ,Yes,Asana,""
110,2024-10-03 14:46:42,CEO,1-10,Startup,Yes,1,Yes,Critical,すべて,Yes,Notion,""
111,2024-10-03 15:00:01,Operations Manager,51-200,Retail,No,N/A,Yes,Critical,店舗運営,Yes,None,""
112,2024-10-03 15:13:18,Product Manager,201-500,Technology,Yes,2,Yes,High,指標レビュー,Yes,Linear,""
113,2024-10-03 15:26:32,Engineering Manager,201-500,Technology,Yes,2,Yes,High,チーム更新,Yes,Linear,""
114,2024-10-03 15:39:48,Project Manager,11-50,Consulting,Yes,2,Yes,Critical,クライアント業務,Yes,Asana,""
115,2024-10-03 15:53:02,Designer,201-500,E-commerce,Yes,2,Yes,Medium,プロモーション,Maybe,Figma,""
116,2024-10-03 16:06:18,Product Manager,51-200,Healthcare,Yes,1,Yes,Critical,患者ケア,Yes,Monday,""
117,2024-10-03 16:19:35,Founder,11-50,Agency,Yes,2,Yes,Critical,クライアントプロジェクト,Yes,Monday,""
118,2024-10-03 16:32:49,Engineering Lead,11-50,Startup,Yes,2,Yes,High,スプリント追跡,Yes,Linear,""
119,2024-10-03 16:46:02,Operations Lead,501-1000,Logistics,No,N/A,Yes,Critical,車両運用,Yes,None,""
120,2024-10-03 16:59:22,Product Manager,201-500,Fintech,Yes,2,Yes,High,監査証跡,Yes,Asana,""
121,2024-10-04 08:15:42,Project Manager,51-200,Events,Yes,1,Yes,Critical,イベント当日,Yes,Asana,""
122,2024-10-04 08:28:58,Designer,11-50,Technology,Yes,3,Yes,Medium,フィードバック,Maybe,Figma,""
123,2024-10-04 08:42:12,Engineering Manager,201-500,Enterprise,Yes,2,Yes,High,インシデント,Yes,Jira,""
124,2024-10-04 08:55:28,Product Manager,11-50,EdTech,Yes,2,Yes,High,コース開発,Yes,Asana,""
125,2024-10-04 09:08:45,CEO,1-10,Startup,Yes,1,Yes,Critical,すべてのこと,Yes,Notion,""
126,2024-10-04 09:21:58,Operations Manager,201-500,Healthcare,No,N/A,Yes,Critical,病棟タスク,Yes,None,""
127,2024-10-04 09:35:15,Product Manager,51-200,Technology,Yes,2,Yes,High,ロードマップ,Yes,Linear,""
128,2024-10-04 09:48:32,Engineering Lead,51-200,SaaS,Yes,2,Yes,High,デプロイ,Yes,Linear,""
129,2024-10-04 10:01:48,Project Manager,201-500,Construction,No,N/A,Yes,Critical,現場作業,Yes,Procore,""
130,2024-10-04 10:15:02,Designer,51-200,Design Agency,Yes,2,Yes,Medium,修正対応,Maybe,Monday,""
131,2024-10-04 10:28:18,Product Manager,501-1000,Financial Services,Yes,2,Yes,Critical,リスク管理,Yes,Monday,""
132,2024-10-04 10:41:35,Founder,1-10,Startup,Yes,1,Yes,Critical,猛進モード,Yes,Notion,""
133,2024-10-04 10:54:48,Engineering Manager,11-50,Technology,Yes,2,Yes,High,スプリント,Yes,Linear,""
134,2024-10-04 11:08:02,Operations Lead,51-200,Manufacturing,No,N/A,Yes,Critical,現場運営,Yes,None,""
135,2024-10-04 11:21:22,Product Manager,201-500,Technology,Yes,2,Yes,High,機能,Yes,Asana,""
136,2024-10-04 11:34:38,Project Manager,11-50,Agency,Yes,2,Yes,High,クライアント,Yes,Monday,""
137,2024-10-04 11:47:52,Designer,201-500,Technology,Yes,3,Yes,Medium,レビュー,Maybe,Figma,""
138,2024-10-04 12:01:08,Engineering Lead,201-500,Technology,Yes,2,Yes,High,オンコール,Yes,Linear,""
139,2024-10-04 12:14:25,Product Manager,51-200,Fintech,Yes,2,Yes,High,追跡,Yes,Asana,""
140,2024-10-04 12:27:42,CEO,11-50,Consulting,Yes,1,Yes,Critical,監督,Yes,Notion,""
141,2024-10-04 12:40:55,Operations Manager,501-1000,Retail,No,N/A,Yes,Critical,店舗,Yes,None,""
142,2024-10-04 12:54:12,Product Manager,11-50,Technology,Yes,2,Yes,High,スプリント,Yes,Linear,""
143,2024-10-04 13:07:28,Engineering Manager,51-200,SaaS,Yes,2,Yes,High,リリース,Yes,Linear,""
144,2024-10-04 13:20:42,Project Manager,201-500,Events,Yes,1,Yes,Critical,ロジスティクス,Yes,Asana,""
145,2024-10-04 13:33:58,Designer,11-50,Design Agency,Yes,2,Yes,Medium,アセット,Maybe,Monday,""
146,2024-10-04 13:47:15,Product Manager,201-500,Healthcare,Yes,1,Yes,Critical,患者,Yes,Monday,""
147,2024-10-04 14:00:29,Founder,1-10,Startup,Yes,1,Yes,Critical,すべて,Yes,Notion,""
148,2024-10-04 14:13:45,Engineering Lead,11-50,Startup,Yes,2,Yes,High,バグ,Yes,Linear,""
149,2024-10-04 14:27:02,Operations Lead,201-500,Logistics,No,N/A,Yes,Critical,ルート,Yes,None,""
150,2024-10-04 14:40:18,Product Manager,51-200,Technology,Yes,3,Yes,High,バックログ,Maybe,Asana,""
151,2024-10-04 14:53:32,Project Manager,501-1000,Enterprise,Yes,2,Yes,High,プログラム,Yes,Jira,""
152,2024-10-04 15:06:48,Designer,51-200,Technology,Yes,2,Yes,Medium,ハンドオフ,Maybe,Figma,""
153,2024-10-04 15:20:05,Engineering Manager,201-500,Technology,Yes,2,Yes,High,チーム,Yes,Linear,""
154,2024-10-04 15:33:22,Product Manager,11-50,EdTech,Yes,2,Yes,High,カリキュラム,Yes,Asana,""
155,2024-10-04 15:46:35,CEO,1-10,Startup,Yes,1,Yes,Critical,サバイバル,Yes,Notion,""
156,2024-10-04 16:00:01,Operations Manager,51-200,Healthcare,No,N/A,Yes,Critical,臨床,Yes,None,""
157,2024-10-04 16:13:18,Product Manager,201-500,Fintech,Yes,2,Yes,High,コンプライアンス,Yes,Asana,""
158,2024-10-04 16:26:32,Engineering Lead,51-200,Technology,Yes,2,Yes,High,モニタリング,Yes,Linear,""
159,2024-10-04 16:39:48,Project Manager,11-50,Consulting,Yes,2,Yes,Critical,クライアント,Yes,Monday,""
160,2024-10-04 16:53:05,Designer,201-500,E-commerce,Yes,2,Yes,Medium,キャンペーン,Maybe,Figma,""
161,2024-10-05 09:08:22,Product Manager,51-200,Technology,Yes,2,Yes,High,機能,Yes,Linear,""
162,2024-10-05 09:21:38,Founder,11-50,Agency,Yes,1,Yes,Critical,エージェンシーライフ,Yes,Monday,""
163,2024-10-05 09:34:52,Engineering Manager,201-500,Enterprise,Yes,2,Yes,High,インシデント,Yes,Jira,""
164,2024-10-05 09:48:08,Operations Lead,501-1000,Manufacturing,No,N/A,Yes,Critical,生産,Yes,None,""
165,2024-10-05 10:01:25,Product Manager,11-50,Healthcare,Yes,1,Yes,Critical,ケアタスク,Yes,Monday,""
166,2024-10-05 10:14:42,Project Manager,51-200,Events,Yes,1,Yes,Critical,イベント,Yes,Asana,""
167,2024-10-05 10:27:55,Designer,11-50,Technology,Yes,3,Yes,Medium,フィードバック,Maybe,Figma,""
168,2024-10-05 10:41:12,Engineering Lead,11-50,SaaS,Yes,2,Yes,High,デプロイ,Yes,Linear,""
169,2024-10-05 10:54:28,Product Manager,201-500,Technology,Yes,2,Yes,High,ロードマップ,Yes,Asana,""
170,2024-10-05 11:07:42,CEO,1-10,Startup,Yes,1,Yes,Critical,すべて,Yes,Notion,""
171,2024-10-05 11:20:58,Operations Manager,201-500,Retail,No,N/A,Yes,Critical,店舗,Yes,None,""
172,2024-10-05 11:34:15,Product Manager,51-200,Fintech,Yes,2,Yes,High,監査,Yes,Asana,""
173,2024-10-05 11:47:32,Engineering Manager,51-200,Technology,Yes,2,Yes,High,スプリント,Yes,Linear,""
174,2024-10-05 12:00:45,Project Manager,201-500,Construction,No,N/A,Yes,Critical,現場,Yes,Procore,""
175,2024-10-05 12:13:58,Designer,51-200,Design Agency,Yes,2,Yes,Medium,レビュー,Maybe,Monday,""
176,2024-10-05 12:27:18,Product Manager,501-1000,Financial Services,Yes,2,Yes,Critical,リスク,Yes,Monday,""
177,2024-10-05 12:40:35,Founder,1-10,Startup,Yes,1,Yes,Critical,カオス,Yes,Notion,""
178,2024-10-05 12:53:48,Engineering Lead,201-500,Technology,Yes,2,Yes,High,オンコール,Yes,Linear,""
179,2024-10-05 13:07:02,Operations Lead,51-200,Healthcare,No,N/A,Yes,Critical,看護,Yes,None,""
180,2024-10-05 13:20:22,Product Manager,11-50,Technology,Yes,2,Yes,High,バックログ,Yes,Linear,""
181,2024-10-05 13:33:38,Project Manager,11-50,Agency,Yes,2,Yes,High,納品,Yes,Monday,""
182,2024-10-05 13:46:52,Designer,201-500,Technology,Yes,3,Yes,Medium,仕様,Maybe,Figma,""
183,2024-10-05 14:00:08,Engineering Manager,11-50,Startup,Yes,2,Yes,High,バグ,Yes,Linear,""
184,2024-10-05 14:13:25,Product Manager,201-500,Healthcare,Yes,1,Yes,Critical,患者,Yes,Monday,""
185,2024-10-05 14:26:42,CEO,11-50,Consulting,Yes,1,Yes,Critical,クライアント,Yes,Notion,""
186,2024-10-05 14:39:55,Operations Manager,501-1000,Logistics,No,N/A,Yes,Critical,車両,Yes,None,""
187,2024-10-05 14:53:12,Product Manager,51-200,EdTech,Yes,2,Yes,High,コンテンツ,Yes,Asana,""
188,2024-10-05 15:06:28,Engineering Lead,51-200,SaaS,Yes,2,Yes,High,リリース,Yes,Linear,""
189,2024-10-05 15:19:42,Project Manager,201-500,Events,Yes,1,Yes,Critical,イベント,Yes,Asana,""
190,2024-10-05 15:32:58,Designer,11-50,Design Agency,Yes,2,Yes,Medium,クライアント,Maybe,Monday,""
191,2024-10-05 15:46:15,Product Manager,11-50,Technology,Yes,2,Yes,High,スプリント,Yes,Linear,""
192,2024-10-05 15:59:32,Founder,1-10,Startup,Yes,1,Yes,Critical,すべて,Yes,Notion,""
193,2024-10-05 16:12:45,Engineering Manager,201-500,Technology,Yes,2,Yes,High,チーム,Yes,Linear,""
194,2024-10-05 16:25:58,Operations Lead,201-500,Manufacturing,No,N/A,Yes,Critical,ライン,Yes,None,""
195,2024-10-05 16:39:15,Product Manager,201-500,Fintech,Yes,2,Yes,High,追跡,Yes,Asana,""
196,2024-10-05 16:52:32,Project Manager,51-200,Healthcare,Yes,1,Yes,Critical,ケア,Yes,Monday,""
197,2024-10-05 17:05:48,Designer,51-200,Technology,Yes,2,Yes,Medium,フィードバック,Maybe,Figma,""
198,2024-10-05 17:19:02,Engineering Lead,11-50,Technology,Yes,2,Yes,High,デプロイ,Yes,Linear,""
199,2024-10-05 17:32:22,Product Manager,51-200,Technology,Yes,3,Yes,High,機能,Maybe,Asana,""
200,2024-10-05 17:45:38,CEO,1-10,Startup,Yes,1,Yes,Critical,スタートアップライフ,Yes,Notion,"アプリを作ってください！"
